slug,name,category,borough,neighborhood,address,lat,lng,short_description,hero_image_url,tv0,tv1,tv2,tv3,tv4,tv5,tv6,tv7,tv8,tv9,crowd_level,price_tier,typical_price_usd,typical_duration_minutes,best_time,indoor_outdoor,popularity_seed
central-park,Central Park,park,manhattan,Central Park,"Central Park, New York, NY",40.7829,-73.9654,"843 acres of meadows, lakes and winding paths through the middle of Manhattan, with the Ramble and Bethesda Terrace at its heart.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Global_Citizen_Festival_Central_Park_New_York_City_from_NYonAir_%2815351915006%29.jpg/1920px-Global_Citizen_Festival_Central_Park_New_York_City_from_NYonAir_%2815351915006%29.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.9,5,0,,45,morning,outdoor,95
the-metropolitan-museum-of-art,The Metropolitan Museum of Art,museum,manhattan,Upper East Side,"Upper East Side, New York, NY",40.7794,-73.9632,"Two million works spanning five thousand years, from Egyptian temples to the rooftop garden overlooking Central Park.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Metropolitan_Museum_of_Art_%28The_Met%29_-_Central_Park%2C_NYC.jpg/1920px-Metropolitan_Museum_of_Art_%28The_Met%29_-_Central_Park%2C_NYC.jpg,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5,2,36.00,75,afternoon,indoor,90
museum-of-modern-art,Museum of Modern Art,museum,manhattan,Midtown,"Midtown, New York, NY",40.7614,-73.9776,"Starry Night, Campbell's Soup Cans and a sculpture garden, arranged across six floors of modern and contemporary work.",https://upload.wikimedia.org/wikipedia/commons/8/8b/MoMa_NY_USA_1.jpg,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5,2,36.00,105,afternoon,indoor,85
american-museum-of-natural-history,American Museum of Natural History,museum,manhattan,Upper West Side,"Upper West Side, New York, NY",40.7813,-73.974,"Blue whale overhead, dinosaur halls upstairs and the Rose Center planetarium next door. Built for wandering.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/USA-NYC-American_Museum_of_Natural_History.JPG/1920px-USA-NYC-American_Museum_of_Natural_History.JPG,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5,2,36.00,135,afternoon,indoor,80
solomon-r-guggenheim-museum,Solomon R. Guggenheim Museum,museum,manhattan,Upper East Side,"Upper East Side, New York, NY",40.783,-73.959,Frank Lloyd Wright's white spiral on Fifth Avenue. Take the lift up and walk the ramp down past the exhibitions.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Solomon_R._Guggenheim_Museum_%2848059131351%29.jpg/1920px-Solomon_R._Guggenheim_Museum_%2848059131351%29.jpg,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4,2,36.00,165,afternoon,indoor,75
whitney-museum-of-american-art,Whitney Museum of American Art,museum,manhattan,Meatpacking District,"Meatpacking District, New York, NY",40.7396,-74.0089,"American art from 1900 onward in a Renzo Piano building, with outdoor terraces looking over the High Line and the Hudson.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Whitney_Museum_of_American_Art_%2849051573133%29.jpg/1920px-Whitney_Museum_of_American_Art_%2849051573133%29.jpg,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,4,2,36.00,195,afternoon,indoor,70
tenement-museum,Tenement Museum,museum,manhattan,Lower East Side,"Lower East Side, New York, NY",40.7188,-73.99,"Guided tours through restored apartments at 97 Orchard Street, telling the stories of the immigrant families who lived in them.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/97_Orchard_Street_Front.jpg/1920px-97_Orchard_Street_Front.jpg,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5,2,36.00,45,afternoon,indoor,95
9-11-memorial-museum,9/11 Memorial Museum,museum,manhattan,Financial District,"Financial District, New York, NY",40.7115,-74.0134,"The twin reflecting pools sit in the tower footprints, with the museum below ground holding the slurry wall and the last column.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/9-11_Memorial_and_Museum_%2828815276064%29.jpg/1920px-9-11_Memorial_and_Museum_%2828815276064%29.jpg,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5,2,36.00,75,afternoon,indoor,90
intrepid-museum,Intrepid Museum,museum,manhattan,Hell's Kitchen,"Hell's Kitchen, New York, NY",40.7645,-74.0,"An aircraft carrier moored on the Hudson, carrying a flight deck of jets, the Concorde and the shuttle Enterprise.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Intrepid_Museum_%2849052290092%29.jpg/1920px-Intrepid_Museum_%2849052290092%29.jpg,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5,2,36.00,105,afternoon,indoor,85
the-met-cloisters,The Met Cloisters,museum,manhattan,Fort Tryon Park,"Fort Tryon Park, New York, NY",40.8649,-73.9317,"Medieval European art in a hilltop building assembled from French cloisters, with herb gardens above the Hudson.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/The_Met_Cloisters.jpg/1920px-The_Met_Cloisters.jpg,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5,2,36.00,135,afternoon,indoor,80
the-high-line,The High Line,park,manhattan,Chelsea,"Chelsea, New York, NY",40.748,-74.0048,A mile and a half of disused freight line replanted as an elevated walkway from Gansevoort Street to Hudson Yards.,https://upload.wikimedia.org/wikipedia/commons/5/5a/High_Line_Park%2C_Section_1a.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.9,4,0,,165,morning,outdoor,75
bryant-park,Bryant Park,park,manhattan,Midtown,"Midtown, New York, NY",40.7536,-73.9832,"A formal lawn behind the public library, with a carousel, free chairs everywhere and an ice rink through the winter.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/New-York_-_Bryant_Park.jpg/1920px-New-York_-_Bryant_Park.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.3,0.9,4,0,,195,morning,outdoor,70
washington-square-park,Washington Square Park,park,manhattan,Greenwich Village,"Greenwich Village, New York, NY",40.7308,-73.9973,"The marble arch, the fountain and a permanent circle of chess players, buskers and NYU students in Greenwich Village.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Washington_Square_Arch-Isabella.jpg/1920px-Washington_Square_Arch-Isabella.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.9,5,0,,45,morning,outdoor,95
riverside-park,Riverside Park,park,manhattan,Upper West Side,"Upper West Side, New York, NY",40.8009,-73.9722,"Four miles of waterfront park along the Hudson, with the 79th Street boat basin and a promenade under the plane trees.",https://upload.wikimedia.org/wikipedia/commons/a/a3/Riverside_Park_03.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.9,5,0,,75,morning,outdoor,90
little-island,Little Island,park,manhattan,Chelsea,"Chelsea, New York, NY",40.742,-74.011,"A public park raised on tulip-shaped concrete piles over the Hudson, with an amphitheatre and layered planting.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Little_Island_at_Pier_55.jpg/1920px-Little_Island_at_Pier_55.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.9,5,0,,105,morning,outdoor,85
the-battery,The Battery,park,manhattan,Financial District,"Financial District, New York, NY",40.7033,-74.017,"The southern tip of Manhattan, with harbour views to Liberty Island, Castle Clinton and the SeaGlass carousel.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Battery_Park.JPG/1920px-Battery_Park.JPG,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.9,5,0,,135,morning,outdoor,80
madison-square-park,Madison Square Park,park,manhattan,Flatiron District,"Flatiron District, New York, NY",40.7423,-73.988,A small Flatiron green with rotating outdoor sculpture commissions and the original Shake Shack in the corner.,https://upload.wikimedia.org/wikipedia/commons/a/ac/Madison_Square_Park_from_Above_at_Night_New_York_City.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.9,4,0,,165,morning,outdoor,75
fort-tryon-park,Fort Tryon Park,park,manhattan,Hudson Heights,"Hudson Heights, New York, NY",40.8623,-73.933,"Terraced paths and one of the best Hudson views in the city, wrapped around the Cloisters at Manhattan's northern end.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/2013_Fort_Tryon_Park_main_entrance_sign_at_Margaret_Corbin_Circle_in_snow.jpg/1920px-2013_Fort_Tryon_Park_main_entrance_sign_at_Margaret_Corbin_Circle_in_snow.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.3,0.9,4,0,,195,morning,outdoor,70
empire-state-building,Empire State Building,viewpoint,manhattan,Midtown,"Midtown, New York, NY",40.7484,-73.9857,"The 1931 Art Deco tower, with observatories on the 86th and 102nd floors and a restored ceiling in the lobby.",https://upload.wikimedia.org/wikipedia/commons/1/10/Empire_State_Building_%28aerial_view%29.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.2,5,0,,45,morning,outdoor,95
top-of-the-rock,Top of the Rock,viewpoint,manhattan,Midtown,"Midtown, New York, NY",40.7593,-73.9794,"The Rockefeller Center observation deck, and the one place you can photograph the Empire State Building in the skyline.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Rockefeller_Center_logo.svg/1920px-Rockefeller_Center_logo.svg.png,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.2,5,0,,75,morning,outdoor,90
one-world-observatory,One World Observatory,viewpoint,manhattan,Financial District,"Financial District, New York, NY",40.7127,-74.0134,"Floors 100 to 102 of One World Trade Center, reached by a lift that animates four centuries of the city on the way up.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/One_WTC_logo.svg/1920px-One_WTC_logo.svg.png,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.2,5,0,,105,morning,outdoor,85
edge,Edge,viewpoint,manhattan,Hudson Yards,"Hudson Yards, New York, NY",40.7539,-74.0011,"A triangular sky deck jutting out from Hudson Yards, with angled glass walls and a glass floor panel to stand on.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Hudson_Yards_from_Hudson_Commons_%2895131p%29_%2830_Hudson_Yards%29.jpg/1920px-Hudson_Yards_from_Hudson_Commons_%2895131p%29_%2830_Hudson_Yards%29.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.2,5,0,,135,morning,outdoor,80
summit-one-vanderbilt,SUMMIT One Vanderbilt,viewpoint,manhattan,Midtown,"Midtown, New York, NY",40.7527,-73.9785,"Mirrored rooms, a reflective floor and glass ledges cantilevered over Madison Avenue, next to Grand Central.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/One_Vanderbilt_April_2023.jpg/1920px-One_Vanderbilt_April_2023.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.2,4,0,,165,morning,outdoor,75
flatiron-building,Flatiron Building,landmark,manhattan,Flatiron District,"Flatiron District, New York, NY",40.7411,-73.9897,"The 1902 wedge at the junction of Broadway and Fifth, still one of the most photographed corners in the city.",https://upload.wikimedia.org/wikipedia/commons/c/c3/Edificio_Fuller_%28Flatiron%29_en_2010_desde_el_Empire_State_crop_boxin.jpg,0.9,0.2,0.2,0.2,0.2,0.2,0.9,0.2,0.3,0.2,4,0,,195,morning,outdoor,70
